timestamp,building,staff,inperson,remote,other,total
2020-09-14,Town Center Elementary,1,0.0,0.0,0,1
2020-09-14,Valley Ranch Elementary,0,0.0,0.0,0,0
2020-09-14,Wilson Elementary,0,0.0,0.0,0,0
2020-09-14,Coppell Middle School East,0,0.0,0.0,0,0
2020-09-14,Coppell Middle School North,0,0.0,0.0,0,0
2020-09-14,Coppell Middle School West,0,0.0,1.0,0,1
2020-09-14,Coppell High School,1,3.0,0.0,0,4
2020-09-14,CHS9,0,0.0,0.0,0,0
2020-09-14,New Tech High @ Coppell,0,0.0,0.0,0,0
2020-09-14,Victory Place @ Coppell,0,0.0,0.0,0,0
2020-09-14,Vonita White Admin Building,0,,,0,0
2020-09-14,Brock Center,0,,,0,0
2020-09-14,Service Center,0,,,0,0
2020-09-14,Total,2,4,1,0,7
2020-09-15,Austin Elementary,0,0.0,0.0,0,0
2020-09-15,Canyon Ranch Elementary,0,0.0,0.0,0,0
2020-09-15,Cottonwood Creek Elementary,0,0.0,0.0,0,0
2020-09-15,Denton Creek Elementary,0,1.0,0.0,0,1
2020-09-15,Lakeside Elementary,0,0.0,0.0,0,0
2020-09-15,Richard J. Lee Elementary,0,0.0,0.0,0,0
2020-09-15,Mockingbird Elementary,0,0.0,0.0,0,0
2020-09-15,Pinkerton Elementary,0,0.0,0.0,0,0
2020-09-15,Town Center Elementary,1,0.0,0.0,0,1
2020-09-15,Valley Ranch Elementary,0,0.0,0.0,0,0
2020-09-15,Wilson Elementary,0,0.0,0.0,0,0
2020-09-15,Coppell Middle School East,0,0.0,0.0,0,0
2020-09-15,Coppell Middle School North,0,0.0,0.0,0,0
2020-09-15,Coppell Middle School West,0,0.0,1.0,0,1
2020-09-15,Coppell High School,1,3.0,0.0,0,4
2020-09-15,CHS9,0,0.0,0.0,0,0
2020-09-15,New Tech High @ Coppell,0,0.0,0.0,0,0
2020-09-15,Victory Place @ Coppell,0,0.0,0.0,0,0
2020-09-15,Vonita White Admin Building,0,,,0,0
2020-09-15,Brock Center,0,,,0,0
2020-09-15,Service Center,0,,,0,0
2020-09-15,Total,2,4,1,0,7
